,Car Name,Car Model,Model Year,Price,Registration Year,Fuel Type,Kms Driven(kms),Engine Displacement(cc),Transmission,Year of Manufacture,Mileage(kmpl),Steering Type,Top Speed(kmph)
1354,Maruti,Maruti S-Presso,2021.0,472000.0,2021.0,Petrol,42954.0,998.0,Manual,2021.0,21.7,Power,190.0
1355,Maruti,Maruti Swift,2014.0,471000.0,2014.0,Petrol,68306.0,1197.0,Manual,2014.0,22.38,Electric,160.0
1356,Hyundai,Hyundai i20,2018.0,821000.0000000001,2019.0,Diesel,54961.0,1396.0,Manual,2018.0,22.54,Power,180.0
1357,Maruti,Maruti Swift,2015.0,509999.99999999994,2015.0,Petrol,91087.0,1197.0,Manual,2015.0,22.38,Electric,160.0
1358,Renault,Renault KWID,2022.0,599000.0,2022.0,Petrol,16691.0,999.0,Manual,2022.0,21.74,Electric,155.8
1359,Maruti,Maruti Wagon R,2016.0,401999.99999999994,2016.0,Petrol,80190.0,998.0,Manual,2016.0,20.51,Power,152.0
1360,Hyundai,Hyundai Creta,2017.0,1002000.0,2017.0,Petrol,54639.0,1591.0,Manual,2017.0,15.29,Power,185.0
1361,Maruti,Maruti SX4 S Cross,2020.0,975000.0,2020.0,Petrol,50225.0,1462.0,Manual,2020.0,18.55,Electric,165.0
1362,Hyundai,Hyundai i20,2018.0,795000.0,2018.0,Diesel,68017.0,1396.0,Manual,2018.0,22.54,Power,170.0
1363,Volkswagen,Volkswagen Polo,2016.0,550000.0,2016.0,Petrol,87912.0,1199.0,Manual,2016.0,16.2,Power,165.0
1364,Tata,Tata Nexon,2021.0,1298000.0,2021.0,Petrol,2045.0,1199.0,Manual,2021.0,17.57,Power,121.92
1365,Maruti,Maruti SX4 S Cross,2021.0,1085000.0,2021.0,Petrol,24305.0,1462.0,Manual,2021.0,18.55,Electric,165.0
1366,Tata,Tata Nano,2015.0,335000.0,2015.0,Petrol,2500.0,624.0,Automatic,2015.0,25.4,Power,105.0
1367,Tata,Tata Nexon,2020.0,1109000.0,2020.0,Petrol,31489.0,1199.0,Automatic,2020.0,17.05,Electric,121.92
1368,Fiat,Fiat Linea,2014.0,350000.0,2014.0,Petrol,82268.0,1368.0,Manual,2014.0,14.6,Power,186.0
1369,Ford,Ford Ecosport,2019.0,894999.9999999999,2019.0,Diesel,73834.0,1498.0,Manual,2019.0,23.0,Power,182.0
